user_id,session_id,height_in,weight_lb,pitch_number,pitch_type,pitch_speed_mph,peak_elbow_flexion,min_elbow_flexion,elbow_rom,peak_elbow_velocity,peak_shoulder_abduction,peak_shoulder_velocity,peak_trunk_rotation,trunk_rotation_range,peak_trunk_velocity,peak_knee_flexion,min_knee_flexion,llb_foot_strike_frame,llb_foot_strike_time_s,llb_ankle_velocity_at_strike,llb_ankle_velocity_post_strike,llb_ankle_velocity_delta,llb_ankle_braking_decel,llb_knee_angle_at_strike,llb_knee_ext_peak_velocity,llb_knee_extension_range,llb_time_to_peak_extension,llb_stride_length,llb_knee_ankle_offset,llb_knee_forward_vel_at_strike,llb_knee_forward_vel_25ms,llb_knee_forward_vel_50ms,llb_knee_forward_vel_100ms,llb_knee_forward_vel_150ms,llb_knee_forward_vel_post,llb_knee_forward_decel,llb_head_forward_disp,llb_head_forward_disp_post,llb_hip_ankle_offset,llb_trunk_forward_lean,llb_stride_forward,llb_pelvis_vel_at_strike,llb_pelvis_vel_post,llb_pelvis_decel,llb_trunk_rotation_at_strike,llb_trunk_rot_vel_at_strike,llb_time_fs_to_peak_trunk_vel,llb_elbow_angle_at_strike,llb_time_fs_to_peak_elbow_vel,llb_shoulder_abd_at_strike,elbow_peak_accel,elbow_rms_jerk,trunk_peak_accel,trunk_rms_jerk,shoulder_peak_accel,shoulder_rms_jerk,knee_pos_rms_jerk,seq_gap_pelvis_to_trunk,seq_gap_trunk_to_shoulder,seq_gap_shoulder_to_elbow,kinematic_seq_score,seq_total_duration,peak_elbow_linear_speed,peak_wrist_linear_speed,peak_finger_linear_speed,whip_wrist_elbow,whip_finger_elbow,whip_finger_wrist,whip_delay_elbow_to_wrist,whip_delay_wrist_to_finger,whip_delay_elbow_to_finger,filename,llb_stride_length_norm,llb_knee_ankle_offset_norm,llb_head_forward_disp_norm,llb_head_forward_disp_post_norm,llb_hip_ankle_offset_norm,llb_trunk_forward_lean_norm,llb_stride_forward_norm,llb_ankle_braking_decel_norm,llb_knee_forward_vel_at_strike_norm,llb_knee_forward_vel_25ms_norm,llb_knee_forward_vel_50ms_norm,llb_knee_forward_vel_100ms_norm,llb_knee_forward_vel_150ms_norm,llb_knee_forward_vel_post_norm,llb_knee_forward_decel_norm,llb_pelvis_vel_at_strike_norm,llb_pelvis_vel_post_norm,llb_pelvis_decel_norm,llb_trunk_rot_vel_at_strike_norm,bmi
000625,001612,71.0,201.0,9.0,FF,86.4,149.52412316314619,27.894601543888957,121.62952161925723,3343.940833563405,110.90219474174597,1827.8502653066278,42.39843546554744,42.39715783300843,1161.6444227142997,179.30689193972995,70.68107048730552,436.0,1.211111111111111,0.10913657109841064,0.056458899621661875,0.05267767147674877,1.0535534295349753,159.93175854694837,343.573943339955,19.375133392781578,0.08333333333333333,1.1678458239122786,-0.14386382088984767,-0.20328820281704485,-0.5761307093031218,-0.49211174311111555,-0.15084291059780958,0.21053464733904567,-0.49211174311111555,0.2888235402940707,0.8700383469595877,0.2754938712666054,-0.3792830023254747,0.06988722923301822,1.155182484140082,0.8526693768361714,0.7159450201652579,0.13672435667091354,10.907885992132266,-911.4186948380355,0.005555555555555556,58.153386604000474,0.019444444444444445,70.38770157300037,257102.0375188763,6431835.25984104,322428.47052900714,5144496.914962216,152280.08889665757,4071984.2356116334,26012.679396636835,0.125,0.075,-0.06111111111111111,0.6666666666666666,0.2,17.600986380874293,26.506744590712245,31.34262772762849,1.505980631830679,1.7807313209267768,1.1824397228549408,0.041666666666666664,0.013888888888888888,0.05555555555555555,000625_001612_71_201_009_FF_864.c3d,0.6475800287857817,-0.07977366135624248,0.4824433553064144,0.15276359724221217,-0.2103155164275672,0.038753038279371314,0.6405581036597993,0.5842039644754217,-0.11272496551904451,-0.3194691745054463,-0.2728799728907151,-0.08364362348775069,0.11674317807421852,-0.2728799728907151,0.16015500737167057,0.47281211979381804,0.3969973495426738,0.07581477025114425,-505.3890955073947,28.033993778759235
000628,001601,73.0,229.0,1.0,FF,86.3,145.2840076500711,44.69087341240996,100.59313423766113,2777.2985503702253,133.83167912695453,1073.1462074786791,63.8370485406422,63.81985050638161,1129.3370685493194,178.98553475806872,68.41285870035657,704.0,1.9555555555555555,-0.04404194152056182,0.03814436790237339,-0.0821863094229352,-1.643726188458704,171.70048940666993,377.03518289289036,5.559574693439799,0.13055555555555556,1.1107776227789592,-0.214312757573453,-0.18244796967612487,0.1402088348592052,0.4577404312267592,0.6597338311442106,0.5091155904438477,0.4577404312267592,-0.6401884009028841,0.4326313901061633,0.1246413837867261,-0.3672128087980847,0.17617521933632643,1.0289639043825152,1.0892173644451355,1.96266348098546,-0.8734461165403244,21.736251625904455,535.5755753319276,0.025,140.32472372268538,0.0,75.54260171374403,280998.85468808975,4341241.714383162,326884.3640097442,7054579.562310721,83782.80294906728,2916158.47211302,20795.091987600477,-0.30833333333333335,0.5222222222222223,-0.05,0.3333333333333333,0.5222222222222223,15.276235360233901,25.988766902923047,31.685115332087378,1.7012546802319706,2.0741442236853724,1.2191850213764333,0.06388888888888888,0.0,0.06388888888888888,000628_001601_73_229_001_FF_863.c3d,0.5990603078303092,-0.1155823306943442,0.23332509443758134,0.06722111087624102,-0.19804379721609575,0.09501414051144777,0.5549368484427328,-0.8864880748887413,-0.09839713605658769,0.07561688860921434,0.24686680575275552,0.35580510794100456,0.27457425867967195,0.24686680575275552,-0.34526394180934317,0.5874325123746821,1.0584961066688923,-0.4710635942942102,288.8445557825087,30.21310602576169
000653,001170,76.0,181.0,1.0,FF,80.9,150.30009708974703,27.07111772928006,123.22897936046697,2942.402465187232,116.2562349572629,1045.3880188124817,67.67674870801827,67.6325885290886,869.7962661064163,176.72736613693553,96.47022739023468,445.0,1.2361111111111112,-0.16301185422038517,-0.004046939418099279,-0.1589649148022859,-3.1792982960457175,175.51339428388977,-11.749955636457798,0.0,0.0,1.2325568030458844,-0.20999961010864485,0.17976563818387936,0.36700542907676237,0.5494094818984675,0.5494094818984675,0.5494094818984675,0.5494094818984675,-0.36964384371458814,0.317158434457703,0.03806947529167616,-0.38966351708509933,0.12285117807666665,1.2325565173573165,1.081235642299128,1.2418232639557147,-0.1605876216565867,45.525137026655486,299.76933022678435,0.0,138.58844032358226,0.041666666666666664,48.434900090561,305485.2549308221,5417521.042573025,216535.7852736218,4266379.662914062,181270.4037802603,4906229.010602795,7800.63864884459,0.23333333333333334,-0.005555555555555556,-0.06944444444444445,0.3333333333333333,0.23333333333333334,15.515679180582236,22.552597099545416,26.246835073179234,1.4535359256312694,1.691633009918571,1.1638054347943936,0.06111111111111111,0.002777777777777778,0.06388888888888888,000653_001170_76_181_001_FF_809.c3d,0.6384981366793848,-0.10878554191289104,0.16429674391716897,0.019721029471444346,-0.20185635986588238,0.06364027044999308,0.6384979886848926,-1.6469634770232686,0.09312351750097357,0.19011885053707128,0.28460913898594464,0.28460913898594464,0.28460913898594464,0.28460913898594464,-0.19148562148497109,0.5601096364997555,0.6432984168854718,-0.08318878038571627,155.28871230148383,22.03215625267816
000675,003065,72.0,182.0,3.0,FF,89.2,132.23412067618182,38.70763356301804,93.52648711316377,2829.2118797275107,122.5761275529254,1227.8574381735896,60.272614403390776,60.252802839536216,754.0929433321098,179.66080310762013,55.06681553593615,532.0,1.4777777777777779,-0.04747745278530377,-0.09197680679708695,0.044499354011783177,0.8899870802356635,166.71813567881543,308.20128581184633,9.409572497645911,0.06388888888888888,1.1243989191303922,-0.09419947893274055,-0.30426778948364847,-0.15565651772323633,-0.11789912597374369,-0.07221917468975839,0.048550252335468544,-0.11789912597374369,-0.18636866350990478,0.44956697734351164,0.13193259623194037,-0.28900938922533287,0.2102438889063389,1.09000237190045,0.9747010734015057,1.243728246033285,-0.26902717263177933,15.103398118313718,410.20697552984956,0.008333333333333333,129.9244826035071,0.03611111111111111,71.39712072935234,255645.9791426939,4932072.950764678,229466.78172607976,3887910.1194679877,85937.07627779228,3144447.2791097388,27990.764690378484,0.1388888888888889,0.06666666666666667,-0.06388888888888888,0.6666666666666666,0.20555555555555555,16.181311304868274,26.705900309487593,31.815851052039598,1.650416323271212,1.9662096879915751,1.191341639238301,0.04722222222222222,0.013888888888888888,0.06111111111111111,000675_003065_72_182_003_FF_892.c3d,0.6148288052987709,-0.051508901428663906,0.24582621245817565,0.07214162086173467,-0.15803225570064133,0.11496275640110395,0.5960205445649879,0.4866508531472351,-0.16637565041756805,-0.08511401887753517,-0.06446802601363938,-0.039489924917846884,0.02654760079585988,-0.06446802601363938,-0.10190762440392868,0.5329730278879624,0.6800788746901165,-0.14710584680215405,224.3039017551671,24.683799367598734
000738,001250,69.0,173.0,2.0,FF,88.1,158.725686297903,43.89209170005553,114.83359459784747,2522.295917859117,113.52399067772531,1583.3667035693582,59.779276615205234,59.57565723991354,1253.0110003904329,173.15740242140868,63.88732642161771,256.0,0.7111111111111111,-0.051273921616715686,0.0455732522367923,-0.096847173853508,-1.93694347707016,143.9898359533371,449.26750217687584,29.167566468071584,0.13055555555555556,1.1902739526516368,-0.0751542625593385,0.4763333969396575,0.21843575431372372,0.014639756678615732,-0.12011317698483243,-0.33678552707592607,0.014639756678615732,0.46169364026104176,0.7131765514880832,0.18500114574239016,-0.23359276997156825,0.17750232141651545,0.8036678150755943,1.5426802167559022,0.947490258913312,0.5951899578425902,41.025449357753324,-442.60768832615184,0.058333333333333334,59.89306696753556,0.05555555555555555,81.97393074768142,358416.6639510994,6613498.786401033,436228.43458441,7565532.52371888,139427.62561934793,3600007.0264613223,8645.915981762611,0.1527777777777778,0.005555555555555556,-0.008333333333333333,0.6666666666666666,0.15833333333333333,15.190051608543868,24.97480576897528,27.420635729060773,1.6441554257082203,1.805170675894059,1.0979318911510336,0.041666666666666664,0.011111111111111112,0.05277777777777778,000738_001250_69_173_002_FF_881.c3d,0.6791475251920785,-0.04288158311042937,0.4069248838799973,0.10555811123039494,-0.13328356154945126,0.10127942566273848,0.458557466093572,-1.1051828580795162,0.27178671513160874,0.12463525865213039,0.008353164828606489,-0.06853427877714963,-0.19216337274673403,0.008353164828606489,0.26343355030300225,0.8802237913704795,0.540619798535497,0.33960399283498244,-252.54347159999534,25.54780156819293
000750,001031,76.0,244.0,13.0,FF,90.4,149.2272527604671,56.155635279218565,93.07161748124855,2538.829995777033,117.85612419194082,1369.713669338893,58.565515254997294,58.53417159506408,715.6335009816739,177.5624361543587,61.73100629750174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276516.49395161174,4247501.006630842,209687.55097408054,2967054.6856887033,138867.65070828423,3293507.6927892705,13137.116936734334,0.15833333333333333,0.005555555555555556,-0.011111111111111112,0.6666666666666666,0.1638888888888889,16.238201797966237,25.66314831933575,30.038708786852396,1.580418117636027,1.8498790174300341,1.1704997536962332,0.05,0.011111111111111112,0.06111111111111111,000750_001031_76_244_013_FF_904.c3d,,,,,,,,,,,,,,,,,,,,29.70080732405232
000774,001097,76.0,223.0,1.0,FF,77.6,155.50140766991208,38.871046630902285,116.6303610390098,2729.3648354867623,124.18345379749286,930.4630857666134,66.25683161952091,66.25244235932321,918.892562708035,179.53367077305077,81.68944658572293,281.0,0.7805555555555556,0.25005706652370685,0.40657950949888266,-0.1565224429751758,-3.1304488595035163,145.0435560480877,409.86260383013473,24.94490030878356,0.19722222222222222,1.471555673347399,-0.08700879249212982,2.011240430839464,2.1058674696611486,2.1473220299529694,1.264294700250688,0.47848991145928543,2.1473220299529694,-0.13608159911350537,0.7658686629618078,0.46128748465842656,-0.45223375714928904,-0.10574840507547788,1.4314460171173964,2.3084398535613246,2.5843924908880993,-0.27595263732677466,50.48648456593379,216.1752609848537,0.18888888888888888,79.55909606799591,0.2111111111111111,118.03251027154002,265851.0582980608,4213662.512571735,203520.68843117083,3595725.24906365,88129.18686544952,2164785.5135392947,13486.942627956296,0.1388888888888889,0.08333333333333333,-0.06111111111111111,0.6666666666666666,0.2222222222222222,14.150212492713209,21.368725377869488,26.403315156973644,1.5101345925987701,1.8659306473715707,1.2356055258362872,0.04722222222222222,0.019444444444444445,0.06666666666666667,000774_001097_76_223_001_FF_776.c3d,0.7623060885554284,-0.04507293436185756,0.39674091533454614,0.2389595341164663,-0.23426945563058904,-0.054780566242995175,0.7415281895552199,-1.621658132772232,1.04187755430971,1.0908969486433633,1.1123715447332,0.6549392355214919,0.24787086171740855,1.1123715447332,-0.07049399042349015,1.1958349842319336,1.3387859981807395,-0.14295101394880577,111.98469798220769,27.144590300260933
000782,003250,74.0,184.0,1.0,FF,90.0,152.64851178807754,59.11026455119888,93.53824723687866,2232.2075574001983,124.15915538308808,1131.407592705133,64.10406800560715,64.0787248850384,864.5570777198052,175.19584911166956,76.96133957209118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160917.3195291255,4183503.1718667583,198351.59721595026,3296844.916989617,84946.9100772828,3091682.7108553564,23557.70694430891,0.1361111111111111,0.06111111111111111,-0.05,0.6666666666666666,0.19722222222222222,16.42957216319667,27.745561458190714,34.03560146986485,1.6887573932291804,2.071606072987515,1.22670436931516,0.05,0.011111111111111112,0.06111111111111111,000782_003250_74_184_001_FF_900.c3d,,,,,,,,,,,,,,,,,,,,23.624356963834455
000787,002990,73.0,183.0,4.0,FF,81.8,151.29311068595084,32.13820602993787,119.15490465601297,2471.327993689554,104.45273049919656,1651.1771345394397,61.46519908006394,60.32008674608237,1027.0339606556602,177.62042009511686,81.8046810760582,410.0,1.1388888888888888,0.13219192924856274,0.05023622710067799,0.08195570214788475,1.639114042957695,145.63948446177153,276.288994987101,22.585561515400627,0.19722222222222222,1.1970576698573752,0.06021808059136187,0.9167871810346091,0.731160829986132,0.5026242722428184,0.21121607462137487,0.040911321996883056,0.5026242722428184,0.41416290879179074,0.9211686328202411,0.4370331205597577,-0.054937066474411725,0.13420500749020586,0.6842019486878222,1.31242884455838,1.4106629885092772,-0.09823414395089713,53.56602168999682,-402.27260351375804,0.10833333333333334,40.24870976899624,0.10833333333333334,95.23203020355264,259293.59318174704,6512937.303867844,261900.76559744624,4581475.504027279,143047.95365606743,3956851.058920649,23776.14917553937,0.13333333333333333,0.016666666666666666,-0.016666666666666666,0.6666666666666666,0.15,16.51084426819986,22.98434614435763,31.566260623647192,1.3920757637225027,1.9118501822734948,1.3733808403941181,0.05,0.011111111111111112,0.06111111111111111,000787_002990_73_183_004_FF_818.c3d,0.6455925303944425,0.03247658321182282,0.49680111790542614,0.2356990187464986,-0.029628447025354186,0.07237892756455931,0.3690011588220377,0.8840006703471551,0.4944381302095832,0.3943268417571632,0.27107338595772756,0.11391223957576038,0.022064136553167437,0.27107338595772756,0.22336474425185565,0.7078140678235251,0.7607933278552892,-0.05297926003176418,-216.95211062116172,24.144097828447112
000789,001313,72.0,186.0,6.0,FF,85.8,154.90066659488235,37.6588764377715,117.24179015711086,3340.1423946183445,109.01253973082115,1043.2847137578408,69.7071095910598,69.70510222359813,1111.0432626414754,179.89214491936687,91.75594390432816,405.0,1.125,-0.1684796896539896,-0.09612278053566126,-0.07235690911832834,-1.4471381823665668,169.08850482849923,365.0200004834136,10.803640090867646,0.03333333333333333,1.1728895461916888,-0.12125321057234678,-1.0303085991723546,-0.8676887334294104,-0.8187406283405102,-0.5475483974095793,-0.2334261551047815,-0.8187406283405102,-0.21156797083184442,0.5145098045443426,0.13378322229364267,-0.3198586233460328,0.1312662638184153,1.1629130222926618,0.14317099329177302,0.429943001956135,-0.286772008664362,14.916807726870381,524.594804874723,0.002777777777777778,132.46668576179584,0.005555555555555556,99.24273595774031,417079.0101056276,7032025.268677056,253867.2217509966,4402997.219334883,138352.88682296305,3285248.125417083,5659.8660278233565,0.12222222222222222,0.025,-0.005555555555555556,0.6666666666666666,0.14722222222222223,14.948393949359641,22.163567981993207,26.94328376391096,1.4826721892048242,1.8024199693415996,1.2156564225489792,0.044444444444444446,0.011111111111111112,0.05555555555555555,000789_001313_72_186_006_FF_858.c3d,0.6413438025982551,-0.06630206177403039,0.28133738218741394,0.07315355549739866,-0.17490082203960675,0.07177726586746244,0.635888572994675,-0.7913047803841682,-0.5633795927232911,-0.4744579688481028,-0.4476928195212764,-0.299403104445308,-0.12763897370121474,-0.4476928195212764,-0.11568677320201466,0.07828685110005086,0.23509569223323218,-0.1568088411331813,286.85192742493604,25.226300452600906
000822,002969,75.0,231.0,1.0,FF,90.4,139.66999844314321,44.22449102328148,95.44550741986174,2662.673208162788,126.39911943997173,1672.3455172991332,64.4918288476953,64.07781003490075,826.6349440588701,179.78220248592632,77.29165416918485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284401.4485185261,4541475.560959164,83023.13497717165,2532209.9912359416,132100.35373481433,3563750.4030991085,22333.3900475404,0.1361111111111111,0.06388888888888888,-0.06388888888888888,0.6666666666666666,0.2,17.638250089981085,27.465393197637397,33.036500845776445,1.5571495504102386,1.8730033125305274,1.2028409936843096,0.05,-0.002777777777777778,0.04722222222222222,000822_002969_75_231_001_FF_904.c3d,,,,,,,,,,,,,,,,,,,,28.87320974641949
000830,001615,70.0,193.0,5.0,FF,85.4,136.41967292840735,48.598351342643305,87.82132158576405,3184.0584531838394,124.59265911278256,2221.407075948532,88.78032851292626,88.75012973353638,1222.253354902299,177.00757255204826,77.97008313810878,447.0,1.2416666666666667,-0.02004142699117796,0.06107065817214855,-0.08111208516332652,-1.6222417032665304,167.82993857405918,214.47920343367684,9.177633977989075,0.19166666666666668,1.0534165769350883,-0.17555125068731314,0.4304883922147389,0.5846905423078959,0.6231377804824971,0.517170491441684,0.42599051785346653,0.6231377804824971,-0.19264938826775824,0.43768079754522327,0.11268821183634238,-0.39821393456131055,0.23721960490831454,1.0399576433209896,0.9482412643119467,1.5106741556363543,-0.5624328913244077,18.602447215923505,203.22549749956238,0.005555555555555556,131.45644473278062,0.15,66.05671191856388,327877.3738396412,6401484.084442775,194252.21829165143,5194619.184849175,256089.32720837643,5213862.494940909,26418.680049761308,0.14166666666666666,0.013888888888888888,-0.005555555555555556,0.6666666666666666,0.15555555555555556,16.097237894652537,25.67466002177045,30.656019886125982,1.5949730127489454,1.9044273363388533,1.1940185326750836,0.04722222222222222,0.013888888888888888,0.06111111111111111,000830_001615_70_193_005_FF_854.c3d,0.5924727654303084,-0.09873523660703776,0.2461646780344338,0.0633791967583478,-0.22396734227295306,0.13341935034213415,0.584903061485371,-0.9123969084738641,0.24211945568882953,0.3288473241326748,0.35047119262232684,0.2908720424306434,0.2395897175778777,0.35047119262232684,-0.10835173693349733,0.5333190462946832,0.8496480065446312,-0.31632896024994805,114.30005483664925,27.69279824273934
000870,003252,74.0,195.0,2.0,FF,80.8,150.707605316662,41.60037955930642,109.1072257573556,3301.2283778050996,106.4033770263706,1500.9542286728913,78.58718134193354,77.27772470494227,1008.5379640246067,179.12529453444685,98.1394383977106,671.0,1.863888888888889,0.06915553393854282,0.022625524152949154,0.046530009785593664,0.9306001957118732,141.096113790683,256.07734703537915,29.6727081848168,0.19722222222222222,1.1802644060883443,-0.04509809830525151,0.18678155903783583,-0.0034685684220894185,-0.07438157331851078,-0.0478505912605612,-0.06302421690163293,-0.07438157331851078,0.2611631323563466,0.7236784599297347,0.27212703445750464,-0.31084318410188877,0.013978120384730387,1.1755756275731193,1.263334292990231,0.7836955462496735,0.4796387467405574,23.42558446352688,-890.011240867035,0.03611111111111111,43.84509136196566,0.03888888888888889,80.18386978773752,370184.7048464913,6116723.490127274,236518.61460440268,3704853.230681504,190005.3767647183,3768758.6167132524,19794.558727216852,0.14722222222222223,0.013888888888888888,-0.011111111111111112,0.6666666666666666,0.16111111111111112,17.373081863811457,26.55590321944074,31.529461052771055,1.5285660556724434,1.8148455927354876,1.1872863367603075,0.06388888888888888,-0.002777777777777778,0.06111111111111111,000870_003252_74_195_002_FF_808.c3d,0.6279338189446394,-0.023993455152825874,0.3850172695944534,0.1447792266745609,-0.16537730586395444,0.007436752705219402,0.6254392570616724,0.4951054456862488,0.09937303630444554,-0.0018453758363957324,-0.03957308646441306,-0.02545785872555927,-0.033530653810189895,-0.03957308646441306,0.1389461227688586,0.6721293322995483,0.4169480454616267,0.2551812868379216,-473.51098152108693,25.036682651889773
000874,001562,73.0,211.0,3.0,FF,91.8,141.1446219243714,38.49197969385182,102.65264223051958,2391.5380859090083,118.7549573481837,952.2046477983022,55.89969311372249,55.88051208835753,859.8773315517507,179.20155058332918,97.83680858070959,570.0,1.5833333333333333,-0.02644183074417012,-0.06390026366366948,0.03745843291949936,0.7491686583899871,159.25360885386362,19.27105695880698,0.3583735359467539,0.03333333333333333,1.1733580735387223,-0.09720869402779572,0.3291833537274844,0.2591987321320655,0.19529789670986294,0.1739517616141447,0.1739517616141447,0.19529789670986294,0.13388545701762147,0.004481207748715917,-0.03851029236817858,-0.3398544046151487,0.17345180438929014,1.1113219537826864,0.7381358222700488,0.460451240491707,0.2776845817783418,28.41453514398694,-33.36024976396615,0.058333333333333334,123.11269801651741,0.0,42.48624934008125,197187.8757196492,3842641.621897975,206286.7234481537,3450453.4379827534,87157.16606191602,2149734.0944890757,5294.805867346306,0.11666666666666667,0.002777777777777778,-0.011111111111111112,0.6666666666666666,0.11944444444444445,14.344215573917484,24.96340056768089,30.1611982026579,1.74031130800018,2.1026732376708637,1.208216729963721,0.044444444444444446,0.011111111111111112,0.05555555555555555,000874_001562_73_211_003_FF_918.c3d,0.6328109554194383,-0.05242621833016704,0.0024167876975061575,-0.0207692225046805,-0.18328896808065404,0.0935453588551883,0.5993538743300003,0.4040387543900265,0.1775338980301394,0.13979006155326584,0.1053273091952664,0.09381499385942439,0.09381499385942439,0.1053273091952664,0.07220658883487298,0.39808856772195494,0.2483287889611191,0.14975977876083585,-17.99172136984476,27.838276731160335
000884,001603,69.0,201.0,4.0,FF,85.0,140.5600774513,42.7887127944572,97.7713646568428,3135.6744187746435,115.94529112308835,1030.5314220632172,47.01385855495073,47.01088045197499,829.2206728858627,177.2199159885257,67.0900081818822,422.0,1.1722222222222223,0.20154133832664933,0.031312972422704956,0.17022836590394438,3.4045673180788874,147.202868366361,481.97542578007756,30.01704762216471,0.08333333333333333,1.3072648611442559,-0.09492869035850249,1.0664786269936202,0.7163840075345491,0.3496265118458668,-0.06230159057965153,-0.08663844930520048,0.3496265118458668,0.7168521151477534,0.5673113981114853,0.1884073183561116,-0.15278970642063297,0.052096622197003076,0.7096332112409676,0.9701099293399937,-0.0845402309571458,1.0546501602971396,22.953439311579267,-626.4381442964831,0.019444444444444445,55.098411076286666,0.03333333333333333,79.69679009692544,387460.1291937118,6870151.584210747,215142.74706774583,4116321.029879195,157764.15014190387,4020215.8879822106,24114.990962613643,0.11388888888888889,0.019444444444444445,-0.005555555555555556,0.6666666666666666,0.13333333333333333,15.739077105809763,25.986513587857182,30.39863640321753,1.6510824245383984,1.9314116195540136,1.1697851002768611,0.041666666666666664,0.0,0.041666666666666664,000884_001603_69_201_004_FF_850.c3d,0.7459002973549332,-0.054164492958177844,0.3236970204904059,0.10750160810002944,-0.08717888076037486,0.0297253350433659,0.404903121785329,1.9425809186801823,0.6085122828903459,0.4087549968815184,0.19949019276838229,-0.035548094590694704,-0.04943424016044761,0.19949019276838229,0.4090220901219636,0.5535261493438285,-0.04823703694918738,0.601763186293016,-357.4336096636329,29.68270586824728
000890,001783,71.0,199.0,7.0,FF,79.6,153.03289476719647,46.10322864392719,106.92966612326927,2446.6914798070684,101.27209266795364,1006.0185653400415,58.31151899663787,58.23455380752057,1287.3736862086412,178.26897635442003,78.72045248645207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243603.63203171763,5517975.519074273,349507.7517071021,5517825.61304898,112205.92602370294,3048101.0764107476,28422.370848359766,0.15833333333333333,0.013888888888888888,-0.013888888888888888,0.6666666666666666,0.17222222222222222,14.892919023921591,26.42783520499127,29.547535340103774,1.7745235277612026,1.98399892543855,1.1180459962351856,0.05,0.011111111111111112,0.06111111111111111,000890_001783_71_199_007_FF_796.c3d,,,,,,,,,,,,,,,,,,,,27.755048567030286
